"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"3","Atlantic herring",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.142857143",2,1,NA,"",NA,NA,"","","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","burpot",NA,"Fish","Fish","","Stück (Piece)",0.9198530757,NA,NA,0.8100198726,NA,NA,NA,-0.8923947749,NA,NA,NA,NA,-0.8374781734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.875",32,0,NA,"1798",NA,NA,"","","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","carp",NA,"Fish","Fish","","Stück (Piece)",-0.933318476,0,0.8296164231,2.074041058,NA,NA,NA,0.5530776154,-1.244424635,-0.7259143702,0.4148082115,NA,-0.2419714567,NA,-0.7259143702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.8",97,0,NA,"10825",NA,NA,"1809","3077","9142",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,52,NA,NA,0,"12925","3598",NA,NA,NA,"36",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","carp (type unknown)",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.334119899,-0.7015768904,NA,NA,NA,NA,NA,NA,NA,0.1974690103,NA,NA,-0.830012019,NA,NA,NA,NA,NA,NA,"1",1,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","chameleon loach",NA,"Fish","Fish","","Stück (Piece)",NA,-0.7625563951,NA,-0.3901451324,NA,NA,NA,-0.8866934827,NA,2.030528075,-0.3280765886,NA,0.4788144806,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1418709572,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.7272727",1311,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,1311,360,NA,NA,NA,NA,NA,NA,NA,780,NA,NA,300,NA,NA,NA,NA,NA,NA
"36","cod",NA,"Fish","Fish","","Stof (fluids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7071067812,0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.9",192,1,NA,"1356",NA,NA,"744","1668","2256",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,12,NA,NA,NA,"2652","624",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,144,NA,NA,NA,NA,NA,NA,NA
"43","crucian carp",NA,"Fish","Fish","","",0.5975155173,NA,NA,NA,NA,NA,NA,-1.394202874,NA,-0.2323671456,1.261421648,NA,-0.2323671456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.5",260,1,NA,"1267",NA,NA,"","1000","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4560","360",NA,NA,NA,"",NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","dried carp",NA,"Fish","Fish","","Stück (Piece)",NA,-0.2816816752,-0.4049174081,-0.07312889645,NA,NA,NA,-0.6134701869,NA,-0.3006410187,-0.5565921563,NA,NA,NA,NA,NA,2.230431342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",88,1,NA,"732",NA,NA,"135","0","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"79","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","dried common roach",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.11111111",300,0,NA,"",NA,NA,"180","1260","412",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1920","1080",NA,NA,NA,"",NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","dried eel",NA,"Fish","Fish","","Stück (Piece)",1.062856056,-0.7393781261,-0.2195028812,1.68670635,NA,NA,NA,-1.016644923,NA,-0.7047197764,1.097514406,NA,-0.4967696785,-0.6700614268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.428571429",2,1,NA,"0",NA,NA,"","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
