"id","translation","german","category","macrocategory","subcategory","measure","mean","max","min","zdate","zvalue","date","value"
"4","aurochs",,"Meat","Meat","game","Stück (Piece)","4.857142857","26","1","z1641",,"1640",
"10","black grouse",,"Meat","Meat","bird, fowl, wild","Stück (Piece)","33.27272727","95","0","z1641","0.1269081549","1640",
"12","Brandenburg hard cheese",,"Dairy","Dairy","","Stück (Piece)","832.875","5160","0","z1641","-0.6475842722","1640",
"13","brined/pickled castrated ram (wether)",,"Meat","Meat","","Stück (Piece)","9","57","1","z1641",,"1640",
"14","brined/pickled goose",,"Meat","Meat","preserved","Stück (Piece)","13.125","99","0","z1641","0.1217662438","1640",
"19","bustard",,"Meat","Meat","bird, wild","Stück (Piece)","13.25","54","0","z1641",,"1640",
"22","candied lemon peel",,"Fruit","Organics","","Pfund (lb)","8.5","31","0","z1641","-0.4138462873","1640",
"24","capon",,"Meat","Meat","bird, fowl","Stück (Piece)","46.28571429","134","0","z1641","1.146763278","1640",
"28","chameleon loach",,"Fish","Fish","","Stück (Piece)","250.7272727","1311","1","z1641",,"1640",
"31","chestnuts",,"Nuts","Flavorings","","Pfund (lb)","18.2","166","1","z1641","0.7797418979","1640",
"32","cinnamon",,"Spice","Flavorings","","Pfund (lb)","23","86","0.6","z1641","0.5813586057","1640",
"33","citrons",,"Fruit","Organics","Citrus","Stück (Piece)","61.18181818","250","0","z1641","0.3047534982","1640",
"34","cloves",,"Spice","Flavorings","","Pfund (lb)","13.13165625","77","0.25","z1641","0.7962080515","1640",
"36","cod",,"Fish","Fish","","Stof (fluids)","61.9","192","1","z1641",,"1640",
"37","cooking wine",,"Acid","Flavorings","","Stof (fluids)","4.555555556","18","1","z1641",,"1640",
"39","corned beef",,"Meat","Meat","Beef","Stof (fluids)","83.11111111","576","0","z1641","1.906573126","1640",
"49","doves",,"Meat","Meat","Bird, wild","Stück (Piece)","25.08333333","80","1","z1641","0.9861231457","1640",
"52","dried common roach",,"Fish","Fish","","Stück (Piece)","51.11111111","300","0","z1641",,"1640",
"54","dried geese",,"Meat","Meat","Bird, fowl","Stück (Piece)","23.44444444","79","0","z1641",,"1640",
"56","dried lamprey",,"Fish","Fish","","Stück (Piece)","7.25","49","0","z1641","1.788784132","1640",
"57","dried maraena whitfish",,"Fish","Fish","","Stück (Piece)","1.25","2","0","z1641",,"1640",
"58","dried mutton",,"Meat","Meat","other","Stück (Piece)","1.142857143","2","1","z1641","0.9703833733","1640",
"60","dried plums",,"Fruit","Organics","","Pfund (lb)","9","41","0","z1641",,"1640",
"61","dried roe",,"Fish","Fish","","Stück (Piece)","7.857142857","49","1","z1641","0.9771024503","1640",
"63","dried sheep",,"Meat","Meat","other","Stück (Piece)","9.875","46","0","z1641",,"1640",
"66","eggs",,"Eggs","Meat","","Stück (Piece)","1,528.63","7803","1","z1641","-0.5856916848","1640",
"67","fattened pig",,"Meat","Meat","Pork","Stück (Piece)","1.142857143","2","1","z1641","1.949218063","1640",
"68","fieldfare",,"Meat","Meat","Bird, wild","Stück (Piece)","32.2","81","0","z1641",,"1640",
