"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"1","almonds","Mandeln","","Nuts","Flavorings","","Pfund (lb)",0.6648770239,-0.09806936102,1.003964306,0.777906118,-0.7479866519,-1.341389396,-0.04155481399,-0.2676130021,,0.5518479298,0.09973155358,,-1.115331208,-0.2958702756,0.8626779385,0.5235906563,2.219027067,-1.341389396,,,,,-1.45441849,,,,,,,,,,"52.4375",132,2,,"491",,,"250.5","571.5","636.75",,27,,,,,,,,"188",52,,44,,,,"588","414",,,,"14",,43,84,72,132,6,,,,,2,,,,,,,,,
"25","caraway","Kümmell","","Spice","Flavorings","","Pfund (lb)",,,,,,-0.5411673671,,-0.6127924598,,1.153959827,,,,,,,,,,,,,,,,,,,,,,,"10.5",75,0,,"",,,"","","",,,,,,,,,,"11",,,0,,,,"590","",,,,"",,,,,,,,,,,,,,,,,,,,
"30","chestnuts","Castanien","","Nuts","Flavorings","","Pfund (lb)",0.7797418979,0.5316422031,1.524040982,1.134170033,,0,-0.4430351693,-0.8293618368,,2.162011626,0.7088562708,,-0.7088562708,-0.8222732741,-0.8258175555,-0.8116404301,-0.8222732741,-0.7797418979,,,,,-0.7974633047,,,,,,,,,,"18.2",166,1,,"0",,,"0","0","0",,,,,,,,,,"",,,,,,,"","",,,,"",,4,2,,,,,,,,166,,,,,,,,,
"31","cinnamon","Cannehl","","Spice","Flavorings","","Pfund (lb)",0.5813586057,-0.7417333934,0.09898131432,-0.1628806438,,,,-0.9760309349,,-0.7279511851,0.01628806438,,-0.6039113102,0.7743095222,-0.7279511851,,,,,,,,2.469521146,,,,,,,,,,"23",86,0.6,,"23.2",,,"20.14","35.203","41.6",,,,,,,,,,"83.25",11.5,,0.6,,,,"74.34","31.8125",,,,"0.5",,0.8,0.7,1.1,0.8,2,,,,,1.5,,,,,,,,,
"33","cloves","Negelein","","Spice","Flavorings","","Pfund (lb)",0.7962080515,0.1508604729,1.164978096,0.7040155402,,,,-1.278123451,,0.5196305178,0.7962080515,,-1.324219707,0.381341751,-1.739086007,,,,,,,,-0.1718133164,,,,,,,,,,"13.13165625",77,0.25,,"13",,,"10.484","17.328","18.2",,0.25,,,,,,,,"52.125",11,,0.5,,,,"60.7","20.5625",,,,"0.375",,0.344,0.375,0.5625,0.375,2,,,,,1.7,,,,,,,,,
"72","fish guts","Hausenblasen","","Fish","Flavorings","","Pfund (lb)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.57142857",92,1,,"",,,"","6","",,,,,,,,,,"8",,,,,,,"4","20",,,,"0",,,,,,,,,,,,,,,,,,,,
"75","ginger","Ingber","","Spice","Flavorings","","Pfund (lb)",-0.3902887915,0.1282767357,1.438337015,1.82043793,,,,-0.9088543187,,-0.5540463264,0.7287210303,,-0.526753404,-0.8542684738,,,,,,,,,-0.8815613963,,,,,,,,,,"16.3359375",50,3.5,,"204.72",,,"115.75","221.75","335.2",,4.25,,,,,,,,"79.75",33.5,,5.75,,,,"337.625","112.25",,,,"1",,4.375,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
"91","mace","M. Blumen","","Spice","Flavorings","","Pfund (lb)",-0.3340965439,1.163707063,-0.2027102626,0.4279438877,,,,-1.174968744,,1.268816088,,,-1.148691488,,,,,,,,,,,,,,,,,,,,"24.09140625",83,0.25,,"26.2",,,"22.9","42.14","41.3",,0.25,,,,,,,,"76",9,,0.9,,,,"71.84","37.5",,,,"4.09",,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
"96","nutmeg","M. Nüße","","Spice","Flavorings","","Pfund (lb)",-0.09575312649,-0.09575312649,0.2700453343,-0.7627973785,,,,-0.3432050264,,-0.5045867003,-0.407757696,,-0.6444508176,,,,,,,,,,-0.1280294613,,2.712287999,,,,,,,,"17.71933333",80,0.5,,"14.828",,,"14.5","22.03","22.9",,,,,,,,,,"62.75",10,,0.5,,,,"69.375","36.125",,,,"0.6",,0.5,0.69,1.1,0.75,2,,,,,1.25,,,,,,,,,
"104","pepper","Pfeffer","","Spice","Flavorings","","Pfund (lb)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.09375",52,3.5,,"217.59",,,"134.25","247.8125","344.3",,4.25,,,,,,,,"95.25",35.5,,5.75,,,,"350.875","120.5",,,,"1.625",,4.5,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
